Row_Index,Title,Price,City,Tag_Count,Top_Tags,All_Tags_Detail
1,Aurum Alumni Bliss,27500000.0,,1,high_end,high_end(0.90)
2,Express Zenith Tower A,26399998.0,,2,"high_end, it_hub",high_end(0.90) | it_hub(0.40)
3,Ace Acreville,30000000.0,,1,high_end,high_end(0.90)
4,VVIP Addresses Greater Noida,35858442.0,,1,high_end,high_end(0.90)
5,Trecento Residencies by Gaurs,125000000.0,,1,luxury,luxury(0.90)
6,Fusion The Brook,11150000.0,,1,high_end,high_end(0.90)
7,Sublime Spring Elmas,16260000.0,,1,high_end,high_end(0.90)
8,CRC Maesta,32500000.0,,1,high_end,high_end(0.90)
9,Fusion The Rivulet,11001000.0,,1,high_end,high_end(0.90)
10,Max Estates 128,113485920.0,,3,"luxury, 1bhk, 2bhk",luxury(0.90) | 1bhk(0.40) | 2bhk(0.40)
11,RG Mirage,30520000.0,,1,high_end,high_end(0.90)
12,Godrej Sora,83100000.0,,1,luxury,luxury(0.90)
13,TARC Ishva,77000000.0,,1,luxury,luxury(0.90)
14,M3M Mansion,36036000.0,,2,"high_end, 3bhk",high_end(0.90) | 3bhk(0.40)
15,Signature Global Cloverdale SPR,38757500.0,,1,high_end,high_end(0.90)
16,DLF The Arbour,84925000.0,,1,luxury,luxury(0.90)
17,Indiabulls Estate and Club,39899999.0,,2,"gym_fitness, high_end",gym_fitness(1.00) | high_end(0.90)
18,Krisumi Waterside Residences,44370000.0,,2,"high_end, water_supply",high_end(0.90) | water_supply(0.60)
19,Signature Global Daxin Vistas,21000000.0,,1,high_end,high_end(0.90)
20,ROF Pravasa,24000000.0,,1,high_end,high_end(0.90)
21,Max Estate 360,54831000.0,,2,"luxury, 3bhk",luxury(0.90) | 3bhk(0.40)
22,Hero Homes,15935500.0,,1,high_end,high_end(0.90)
23,Runwal Raaya,109900000.0,,1,luxury,luxury(0.90)
24,Tricity Aspire,11200000.0,,3,"high_end, it_hub, city_center",high_end(0.90) | it_hub(0.60) | city_center(0.40)
25,Ruparel Stardom,23500001.0,,1,high_end,high_end(0.90)
26,Mahaavir Exotique,5400872.0,,1,mid_range,mid_range(0.90)
27,Godrej Reserve,25400521.0,,1,high_end,high_end(0.90)
28,Raheja Lunaris,10514876.0,,1,high_end,high_end(0.90)
29,Ruparel Vivanza,25500000.0,,1,high_end,high_end(0.90)
30,Raheja Modern Vivarea,125175000.0,,1,luxury,luxury(0.90)
31,Lodha Divino,37746933.0,,1,high_end,high_end(0.90)
32,Codename Cloud City,5871558.0,,3,"mid_range, it_hub, city_center",mid_range(0.90) | it_hub(0.60) | city_center(0.40)
33,Paramount By Gala Habitats,37920000.0,,2,"high_end, it_hub",high_end(0.90) | it_hub(0.40)
34,Ruparel Urbana,9490000.0,,1,mid_range,mid_range(0.90)
35,Lodha Mirabelle ,14900002.0,,1,high_end,high_end(0.90)
36,Casagrand Regal,10864865.0,,1,high_end,high_end(0.90)
37,Provident Deansgate,21000000.0,,1,high_end,high_end(0.90)
38,Bhartiya Garden Estate,6708000.0,,1,mid_range,mid_range(0.90)
39,DSR The Courtyard,10315885.0,,1,high_end,high_end(0.90)
40,Eastfield by Urbanest Realty,12744054.0,,1,high_end,high_end(0.90)
41,Modern Spaaces Engrace Vista,15501000.0,,1,high_end,high_end(0.90)
42,Assetz Canvas and Cove,17100000.0,,1,high_end,high_end(0.90)
43,Sarang by Sumadhura,13475000.0,,1,high_end,high_end(0.90)
44,Bhartiya Nikoo Homes 5,12683240.0,,1,high_end,high_end(0.90)
45,Signature Premier,12000000.0,,1,high_end,high_end(0.90)
46,Rohan Saroha,8146228.0,,1,mid_range,mid_range(0.90)
47,VTP Euphoria,9159135.0,,1,mid_range,mid_range(0.90)
48,Merlin Ventana,13199998.0,,1,high_end,high_end(0.90)
49,Nyati Evania,19000003.0,,1,high_end,high_end(0.90)
50,Kalpataru Jade Skyline,19000000.0,,1,high_end,high_end(0.90)
51,Mahindra Citadel,16300000.0,,2,"high_end, it_hub",high_end(0.90) | it_hub(0.40)
52,Lodha Panache,12547563.0,,1,high_end,high_end(0.90)
53,Vilas Palladio Kharadi Central Phase 2,10999996.0,,2,"high_end, 2bhk",high_end(0.90) | 2bhk(0.40)
54,Lodha Giardino,30000000.0,,1,high_end,high_end(0.90)
55,Nyati Emerald,11800000.0,,1,high_end,high_end(0.90)
