Row_Number,Title,Price,Tag_Count,Tags,Tag_Details
1,99acres,27500000 INR,1,apartment,apartment(0.9)
2,99acres,26399998 INR,1,apartment,apartment(0.9)
3,99acres,30000000 INR,0,,
4,99acres,35858442 INR,1,apartment,apartment(0.9)
5,99acres,125000000 INR,1,apartment,apartment(0.9)
6,99acres,11150000 INR,1,apartment,apartment(0.9)
7,99acres,16260000 INR,1,apartment,apartment(0.9)
8,99acres,32500000 INR,1,apartment,apartment(0.9)
9,99acres,11001000 INR,1,apartment,apartment(0.9)
10,99acres,113485920 INR,1,apartment,apartment(0.9)
11,99acres,30520000 INR,1,apartment,apartment(0.9)
12,99acres,83100000 INR,1,apartment,apartment(0.9)
13,99acres,77000000 INR,1,apartment,apartment(0.9)
14,99acres,36036000 INR,1,apartment,apartment(0.9)
15,99acres,38757500 INR,1,apartment,apartment(0.9)
16,99acres,84925000 INR,1,apartment,apartment(0.9)
17,99acres,39899999 INR,1,apartment,apartment(0.9)
18,99acres,44370000 INR,1,apartment,apartment(0.9)
19,99acres,21000000 INR,1,villa,villa(0.9)
20,99acres,24000000 INR,1,apartment,apartment(0.9)
21,99acres,54831000 INR,1,apartment,apartment(0.9)
22,99acres,15935500 INR,1,apartment,apartment(0.9)
23,99acres,109900000 INR,1,apartment,apartment(0.9)
24,99acres,11200000 INR,1,apartment,apartment(0.9)
25,99acres,23500001 INR,1,apartment,apartment(0.9)
26,99acres,5400872 INR,2,"apartment, budget_friendly",apartment(0.9) | budget_friendly(0.7)
27,99acres,25400521 INR,1,apartment,apartment(0.9)
28,99acres,10514876 INR,1,apartment,apartment(0.9)
29,99acres,25500000 INR,1,apartment,apartment(0.9)
30,99acres,125175000 INR,1,apartment,apartment(0.9)
31,99acres,37746933 INR,1,apartment,apartment(0.9)
32,99acres,5871558 INR,2,"apartment, budget_friendly",apartment(0.9) | budget_friendly(0.7)
33,99acres,37920000 INR,1,apartment,apartment(0.9)
34,99acres,9490000 INR,2,"apartment, budget_friendly",apartment(0.9) | budget_friendly(0.7)
35,99acres,14900002 INR,1,apartment,apartment(0.9)
36,99acres,10864865 INR,1,apartment,apartment(0.9)
37,99acres,21000000 INR,1,villa,villa(0.9)
38,99acres,6708000 INR,2,"apartment, budget_friendly",apartment(0.9) | budget_friendly(0.7)
39,99acres,10315885 INR,1,apartment,apartment(0.9)
40,99acres,12744054 INR,2,"apartment, budget_friendly",apartment(0.9) | budget_friendly(0.7)
41,99acres,15501000 INR,1,apartment,apartment(0.9)
42,99acres,17100000 INR,1,apartment,apartment(0.9)
43,99acres,13475000 INR,1,apartment,apartment(0.9)
44,99acres,12683240 INR,1,apartment,apartment(0.9)
45,99acres,12000000 INR,1,apartment,apartment(0.9)
46,99acres,8146228 INR,2,"apartment, budget_friendly",apartment(0.9) | budget_friendly(0.7)
47,99acres,9159135 INR,2,"apartment, budget_friendly",apartment(0.9) | budget_friendly(0.7)
48,99acres,13199998 INR,1,apartment,apartment(0.9)
49,99acres,19000003 INR,1,apartment,apartment(0.9)
50,99acres,19000000 INR,1,apartment,apartment(0.9)
51,99acres,16300000 INR,1,apartment,apartment(0.9)
52,99acres,12547563 INR,1,apartment,apartment(0.9)
53,99acres,10999996 INR,1,apartment,apartment(0.9)
54,99acres,30000000 INR,1,apartment,apartment(0.9)
55,99acres,11800000 INR,2,"apartment, gated_community",apartment(0.9) | gated_community(0.7)
