Property_ID,Title,City,Price,Total_Tags,High_Confidence_Tags,Categories_Found,Top_Tags,Luxury_Tier,Location_Premium,Unique_Features,Investment_Value,Web_Enhanced,Semantic_Matching
r436675,Aurum Alumni Bliss,Sector 22D Yamuna Expressway,27500000 INR,0,0,0,,,,,,No,No
r454311,Express Zenith Tower A,Sector 77,26399998 INR,0,0,0,,,,,,No,No
r440690,Ace Acreville,Sector 22A Yamuna Expressway,30000000 INR,0,0,0,,,,,,No,No
r436912,VVIP Addresses Greater Noida,Sector-12,35858442 INR,0,0,0,,,,,,No,No
r416826,Trecento Residencies by Gaurs,Jaypee Greens,125000000 INR,0,0,0,,,,,,No,No
r395716,Fusion The Brook,Sector-12,11150000 INR,0,0,0,,,,,,No,No
r402728,Sublime Spring Elmas,Sector-12,16260000 INR,0,0,0,,,,,,No,No
r430588,CRC Maesta,Sector 1 Greater Noida West,32500000 INR,0,0,0,,,,,,No,No
r409011,Fusion The Rivulet,Sector-12,11001000 INR,0,0,0,,,,,,No,No
r410958,Max Estates 128,Sector 128,113485920 INR,0,0,0,,,,,,No,No
r384794,RG Mirage,Sector 120,30520000 INR,0,0,0,,,,,,No,No
r446528,Godrej Sora,Sector 53,83100000 INR,0,0,0,,,,,,No,No
r432550,TARC Ishva,Sector 63A,77000000 INR,0,0,0,,,,,,No,No
r424460,M3M Mansion,Sector 113,36036000 INR,0,0,0,,,,,,No,No
r444331,Signature Global Cloverdale SPR,Sector 71,38757500 INR,0,0,0,,,,,,No,No
