Row_Index,Product_ID,Title,Price_Text,Price_Parsed,Category,City,Bedrooms,Bathrooms,Size,Agent_Name,Tag_Count,Tag_1_Name,Tag_1_Confidence,Tag_1_Category,Tag_2_Name,Tag_2_Confidence,Tag_2_Category,Tag_3_Name,Tag_3_Confidence,Tag_3_Category,Tag_4_Name,Tag_4_Confidence,Tag_4_Category,Tag_5_Name,Tag_5_Confidence,Tag_5_Category,All_Tags
1,PROP_1,Aurum Alumni Bliss,27500000 INR,27500000.0,Apartment,,98,87,,Res-NP,0,,,,,,,,,,,,,,,,
2,PROP_2,Express Zenith Tower A,26399998 INR,26399998.0,Apartment,,97,48,,Res-NP,0,,,,,,,,,,,,,,,,
3,PROP_3,Ace Acreville,30000000 INR,30000000.0,Land,,96,98,,Res-NP,0,,,,,,,,,,,,,,,,
4,PROP_4,VVIP Addresses Greater Noida,35858442 INR,35858442.0,Apartment,,95,99,,Res-NP,0,,,,,,,,,,,,,,,,
5,PROP_5,Trecento Residencies by Gaurs,125000000 INR,125000000.0,Apartment,,95,85,,Res-NP,0,,,,,,,,,,,,,,,,
6,PROP_6,Fusion The Brook,11150000 INR,11150000.0,Apartment,,92,97,,Res-NP,0,,,,,,,,,,,,,,,,
7,PROP_7,Sublime Spring Elmas,16260000 INR,16260000.0,Apartment,,92,94,,Res-NP,0,,,,,,,,,,,,,,,,
8,PROP_8,CRC Maesta,32500000 INR,32500000.0,Apartment,,91,100,,Res-NP,0,,,,,,,,,,,,,,,,
9,PROP_9,Fusion The Rivulet,11001000 INR,11001000.0,Apartment,,91,99,,Res-NP,0,,,,,,,,,,,,,,,,
10,PROP_10,Max Estates 128,113485920 INR,113485920.0,Apartment,,90,100,,Res-NP,0,,,,,,,,,,,,,,,,
11,PROP_11,RG Mirage,30520000 INR,30520000.0,Apartment,,90,98,,Res-NP,0,,,,,,,,,,,,,,,,
12,PROP_12,Godrej Sora,83100000 INR,83100000.0,Apartment,,85,98,,Res-NP,0,,,,,,,,,,,,,,,,
13,PROP_13,TARC Ishva,77000000 INR,77000000.0,Apartment,,92,100,,Res-NP,0,,,,,,,,,,,,,,,,
14,PROP_14,M3M Mansion,36036000 INR,36036000.0,Apartment,,91,100,,Res-NP,0,,,,,,,,,,,,,,,,
15,PROP_15,Signature Global Cloverdale SPR,38757500 INR,38757500.0,Apartment,,92,100,,Res-NP,0,,,,,,,,,,,,,,,,
16,PROP_16,DLF The Arbour,84925000 INR,84925000.0,Apartment,,83,100,,Res-NP,0,,,,,,,,,,,,,,,,
17,PROP_17,Indiabulls Estate and Club,39899999 INR,39899999.0,Apartment,,61,99,,Res-NP,0,,,,,,,,,,,,,,,,
18,PROP_18,Krisumi Waterside Residences,44370000 INR,44370000.0,Apartment,,89,98,,Res-NP,0,,,,,,,,,,,,,,,,
19,PROP_19,Signature Global Daxin Vistas,21000000 INR,21000000.0,House,,70,100,,Res-NP,0,,,,,,,,,,,,,,,,
20,PROP_20,ROF Pravasa,24000000 INR,24000000.0,Apartment,,71,100,,Res-NP,0,,,,,,,,,,,,,,,,
21,PROP_21,Max Estate 360,54831000 INR,54831000.0,Apartment,,99,99,,Res-NP,0,,,,,,,,,,,,,,,,
22,PROP_22,Hero Homes,15935500 INR,15935500.0,Apartment,,43,100,,Res-NP,0,,,,,,,,,,,,,,,,
23,PROP_23,Runwal Raaya,109900000 INR,109900000.0,Apartment,,90,97,,Res-NP,0,,,,,,,,,,,,,,,,
24,PROP_24,Tricity Aspire,11200000 INR,11200000.0,Apartment,,70,92,,Res-NP,0,,,,,,,,,,,,,,,,
25,PROP_25,Ruparel Stardom,23500001 INR,23500001.0,Apartment,,36,95,,Res-NP,0,,,,,,,,,,,,,,,,
26,PROP_26,Mahaavir Exotique,5400872 INR,5400872.0,Apartment,,15,94,,Res-NP,0,,,,,,,,,,,,,,,,
27,PROP_27,Godrej Reserve,25400521 INR,25400521.0,Apartment,,54,96,,Res-NP,0,,,,,,,,,,,,,,,,
28,PROP_28,Raheja Lunaris,10514876 INR,10514876.0,Apartment,,75,95,,Res-NP,0,,,,,,,,,,,,,,,,
29,PROP_29,Ruparel Vivanza,25500000 INR,25500000.0,Apartment,,56,94,,Res-NP,0,,,,,,,,,,,,,,,,
30,PROP_30,Raheja Modern Vivarea,125175000 INR,125175000.0,Apartment,,86,94,,Res-NP,0,,,,,,,,,,,,,,,,
31,PROP_31,Lodha Divino,37746933 INR,37746933.0,Apartment,,30,97,,Res-NP,0,,,,,,,,,,,,,,,,
32,PROP_32,Codename Cloud City,5871558 INR,5871558.0,Apartment,,50,92,,Res-NP,0,,,,,,,,,,,,,,,,
33,PROP_33,Paramount By Gala Habitats,37920000 INR,37920000.0,Apartment,,85,38,,Res-NP,0,,,,,,,,,,,,,,,,
34,PROP_34,Ruparel Urbana,9490000 INR,9490000.0,Apartment,,43,96,,Res-NP,0,,,,,,,,,,,,,,,,
35,PROP_35,Lodha Mirabelle ,14900002 INR,14900002.0,Apartment,,80,96,,Res-NP,0,,,,,,,,,,,,,,,,
36,PROP_36,Casagrand Regal,10864865 INR,10864865.0,Apartment,,76,85,,Res-NP,0,,,,,,,,,,,,,,,,
37,PROP_37,Provident Deansgate,21000000 INR,21000000.0,House,,57,99,,Res-NP,0,,,,,,,,,,,,,,,,
38,PROP_38,Bhartiya Garden Estate,6708000 INR,6708000.0,Apartment,,86,99,,Res-NP,0,,,,,,,,,,,,,,,,
39,PROP_39,DSR The Courtyard,10315885 INR,10315885.0,Apartment,,28,96,,Res-NP,0,,,,,,,,,,,,,,,,
40,PROP_40,Eastfield by Urbanest Realty,12744054 INR,12744054.0,Apartment,,92,95,,Res-NP,0,,,,,,,,,,,,,,,,
41,PROP_41,Modern Spaaces Engrace Vista,15501000 INR,15501000.0,Apartment,,39,96,,Res-NP,0,,,,,,,,,,,,,,,,
42,PROP_42,Assetz Canvas and Cove,17100000 INR,17100000.0,Apartment,,68,97,,Res-NP,0,,,,,,,,,,,,,,,,
43,PROP_43,Sarang by Sumadhura,13475000 INR,13475000.0,Apartment,,60,100,,Res-NP,0,,,,,,,,,,,,,,,,
44,PROP_44,Bhartiya Nikoo Homes 5,12683240 INR,12683240.0,Apartment,,64,96,,Res-NP,0,,,,,,,,,,,,,,,,
45,PROP_45,Signature Premier,12000000 INR,12000000.0,Apartment,,34,81,,Res-NP,0,,,,,,,,,,,,,,,,
46,PROP_46,Rohan Saroha,8146228 INR,8146228.0,Apartment,,70,86,,Res-NP,0,,,,,,,,,,,,,,,,
47,PROP_47,VTP Euphoria,9159135 INR,9159135.0,Apartment,,31,94,,Res-NP,0,,,,,,,,,,,,,,,,
48,PROP_48,Merlin Ventana,13199998 INR,13199998.0,Apartment,,63,88,,Res-NP,0,,,,,,,,,,,,,,,,
49,PROP_49,Nyati Evania,19000003 INR,19000003.0,Apartment,,86,97,,Res-NP,0,,,,,,,,,,,,,,,,
50,PROP_50,Kalpataru Jade Skyline,19000000 INR,19000000.0,Apartment,,76,95,,Res-NP,0,,,,,,,,,,,,,,,,
51,PROP_51,Mahindra Citadel,16300000 INR,16300000.0,Apartment,,81,94,,Res-NP,0,,,,,,,,,,,,,,,,
52,PROP_52,Lodha Panache,12547563 INR,12547563.0,Apartment,,87,98,,Res-NP,0,,,,,,,,,,,,,,,,
53,PROP_53,Vilas Palladio Kharadi Central Phase 2,10999996 INR,10999996.0,Apartment,,100,92,,Res-NP,0,,,,,,,,,,,,,,,,
54,PROP_54,Lodha Giardino,30000000 INR,30000000.0,Apartment,,93,87,,Res-NP,0,,,,,,,,,,,,,,,,
55,PROP_55,Nyati Emerald,11800000 INR,11800000.0,Apartment,,49,97,,Res-NP,0,,,,,,,,,,,,,,,,
